n,threads,qsort_time,parallel_time
1000000,1,0.161647,0.056619
1000000,2,0.097976,0.062794
1000000,4,0.096035,0.074086
1000000,8,0.096169,0.095581
1000000,16,0.096459,0.335623
2000000,1,0.208193,0.120506
2000000,2,0.205378,0.126667
2000000,4,0.202620,0.139561
2000000,8,0.203598,0.199652
2000000,16,0.206831,0.789498
5000000,1,0.555150,0.312476
5000000,2,0.545242,0.333537
5000000,4,0.540350,0.351217
5000000,8,0.541309,0.438505
5000000,16,0.540743,1.260374
10000000,1,1.145141,0.638945
10000000,2,1.163367,0.652705
10000000,4,1.163728,0.705866
10000000,8,1.151608,0.888859
10000000,16,1.155581,1.308170
